источник,предмет,классы,сезон,этап,тип,файл,папка
ВсОШ,russ,6,2017-18,школьный,ответы,ans-russ-6-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,9,2017-18,школьный,задачи,tasks-russ-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,8,2017-18,школьный,ответы,ans-russ-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,6,2017-18,школьный,задачи,tasks-russ-6-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,7,2017-18,школьный,ответы,ans-russ-7-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,iikt,5,2017-18,школьный,ответы,ans-iikt-5-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,11,2017-18,школьный,задачи,tasks-iikt-9-11-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,5,2017-18,школьный,задачи,tasks-iikt-5-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,8,2017-18,школьный,задачи,tasks-iikt-7-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,6,2017-18,школьный,задачи,tasks-iikt-6-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,6,2017-18,школьный,ответы,ans-iikt-6-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,8,2017-18,школьный,ответы,ans-iikt-7-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,iikt,11,2017-18,школьный,ответы,ans-iikt-9-11-msk-sch-17-8.pdf,deploy/всош/2017-18/school/информатика
ВсОШ,chem,8,2017-18,школьный,ответы,ans-chem-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/химия
ВсОШ,chem,9,2017-18,школьный,задачи,tasks-chem-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/химия
ВсОШ,chem,9,2017-18,школьный,ответы,ans-chem-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/химия
ВсОШ,chem,8,2017-18,школьный,задачи,tasks-chem-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/химия
ВсОШ,math,9,2017-18,школьный,ответы,ans-math-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,8,2017-18,школьный,задачи,tasks-math-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,6,2017-18,школьный,ответы,ans-math-6-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,7,2017-18,школьный,задачи,tasks-math-7-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,8,2017-18,школьный,ответы,ans-math-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,9,2017-18,школьный,задачи,tasks-math-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,7,2017-18,школьный,ответы,ans-math-7-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,6,2017-18,школьный,задачи,tasks-math-6-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,5,2017-18,школьный,задачи,tasks-math-5-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,4,2017-18,школьный,ответы,ans-math-4-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,4,2017-18,школьный,задачи,tasks-math-4-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,math,5,2017-18,школьный,ответы,ans-math-5-msk-sch-17-8.pdf,deploy/всош/2017-18/school/математика
ВсОШ,phys,7,2017-18,школьный,задачи,tasks-phys-7-msk-sch-17-8.pdf,deploy/всош/2017-18/school/физика
ВсОШ,phys,8,2017-18,школьный,задачи,tasks-phys-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/физика
ВсОШ,phys,9,2017-18,школьный,ответы,ans-phys-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/физика
ВсОШ,phys,7,2017-18,школьный,ответы,ans-phys-7-msk-sch-17-8.pdf,deploy/всош/2017-18/school/физика
ВсОШ,phys,9,2017-18,школьный,задачи,tasks-phys-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/физика
ВсОШ,phys,8,2017-18,школьный,ответы,ans-phys-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/физика
ВсОШ,iikt,"9,11",2011-2012,final_tasks,задачи,tasks-iikt-9-11-final-11-2.pdf,deploy/всош/2011-2012/final_tasks/информатика
ВсОШ,russ,4,2026-27,пригласительный,ответы,ans-russ-4-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,3,2026-27,пригласительный,ответы,ans-russ-3-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,"9,10",2026-27,пригласительный,задачи,tasks-russ-9-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,"7,8",2026-27,пригласительный,задачи,tasks-russ-7-8-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,"7,8",2026-27,пригласительный,ответы,ans-russ-7-8-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,"9,10",2026-27,пригласительный,ответы,ans-russ-9-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,4,2026-27,пригласительный,задачи,tasks-russ-4-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,3,2026-27,пригласительный,задачи,tasks-russ-3-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,"5,6",2026-27,пригласительный,ответы,ans-russ-5-6-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,russ,"5,6",2026-27,пригласительный,задачи,tasks-russ-5-6-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/русский
ВсОШ,iikt,5,2026-27,пригласительный,задачи,tasks-robo-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,5,2026-27,пригласительный,ответы,ans-robo-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,7,2026-27,пригласительный,задачи,tasks-secr-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,10,2026-27,пригласительный,ответы,ans-secr-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"6,7",2026-27,пригласительный,задачи,tasks-iikt-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,7,2026-27,пригласительный,ответы,ans-secr-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,10,2026-27,пригласительный,задачи,tasks-robo-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,5,2026-27,пригласительный,ответы,ans-secr-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"4,5",2026-27,пригласительный,задачи,tasks-iikt-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,5,2026-27,пригласительный,задачи,tasks-secr-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,10,2026-27,пригласительный,решения,sol-iikt-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,7,2026-27,пригласительный,ответы,ans-robo-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,7,2026-27,пригласительный,задачи,tasks-robo-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"6,7",2026-27,пригласительный,решения,sol-ai-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,3,2026-27,пригласительный,решения,sol-ai-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"6,7",2026-27,пригласительный,задачи,tasks-ai-6-7-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"4,5",2026-27,пригласительный,задачи,tasks-ai-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,"4,5",2026-27,пригласительный,решения,sol-ai-4-5-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,10,2026-27,пригласительный,ответы,ans-robo-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
ВсОШ,iikt,10,2026-27,пригласительный,задачи,tasks-secr-8-10-prigl-msk-26-27.pdf,deploy/всош/2026-27/prigl/информатика
